park,loop,station,code
Bliner Property,Main Loop,1,BP1
Bliner Property,Main Loop,2,BP2
Bliner Property,Main Loop,3,BP3
Bliner Property,Main Loop,4,BP4
Bliner Property,Main Loop,5,BP5
Bliner Property,Main Loop,6,BP6
Bliner Property,Main Loop,7,BP7
Bliner Property,Main Loop,8,BP8
Carkeek Park,Pipers Creek Loop,1,CP1
Carkeek Park,Pipers Creek Loop,2,CP2
Carkeek Park,Pipers Creek Loop,3,CP3
Carkeek Park,Pipers Creek Loop,4,CP4
Carkeek Park,Pipers Creek Loop,5,CP5
Carkeek Park,Pipers Creek Loop,6,CP6
Carkeek Park,Pipers Creek Loop,7,CP7
Carkeek Park,Pipers Creek Loop,8,CP8
Carkeek Park,Pipers Creek Loop,9,CP9
Carkeek Park,Venema Meadow Loop,1,CV1
Carkeek Park,Venema Meadow Loop,2,CV2
Carkeek Park,Venema Meadow Loop,3,CV3
Carkeek Park,Venema Meadow Loop,4,CV4
Carkeek Park,Venema Meadow Loop,5,CV5
Carkeek Park,Venema Meadow Loop,6,CV6
Carkeek Park,Venema Meadow Loop,7,CV7
Carkeek Park,Venema Meadow Loop,8,CV8
Carkeek Park,Venema Meadow Loop,9,CV9
Carkeek Park,Venema Meadow Loop,10,CV10
Carkeek Park,Venema Meadow Loop,11,CV11
Cheasty Greenspace,North,1,CGN1
Cheasty Greenspace,North,2,CGN2
Cheasty Greenspace,North,3,CGN3
Cheasty Greenspace,North,4,CGN4
Cheasty Greenspace,North,5,CGN5
Cheasty Greenspace,North,6,CGN6
Cheasty Greenspace,North,7,CGN7
Cheasty Greenspace,South,1,CGS1
Cheasty Greenspace,South,2,CGS2
Cheasty Greenspace,South,3,CGS3
Cheasty Greenspace,South,4,CGS4
Cheasty Greenspace,South,5,CGS5
Cheasty Greenspace,South,6,CGS6
Cheasty Greenspace,South,7,CGS7
Clark Lake Park,Main Loop,1,CL1
Discovery Park,Beaches,1,DB1
Discovery Park,Beaches,2,DB2
Discovery Park,Beaches,3,DB3
Discovery Park,Beaches,4,DB4
Discovery Park,Beaches,5,DB5
Discovery Park,Beaches,6,DB6
Discovery Park,Beaches,7,DB7
Discovery Park,Beaches,8,DB8
Discovery Park,Capehart,1,DCH1
Discovery Park,Capehart,2,DCH2
Discovery Park,Capehart,3,DCH3
Discovery Park,Capehart,4,DCH4
Discovery Park,Capehart,5,DCH5
Discovery Park,Capehart,6,DCH6
Discovery Park,Cemetery,1,DCM1
Discovery Park,Cemetery,2,DCM2
Discovery Park,Cemetery,3,DCM3
Discovery Park,Cemetery,4,DCM4
Discovery Park,Cemetery,5,DCM5
Discovery Park,Cemetery,6,DCM6
Discovery Park,Cemetery,7,DCM7
Discovery Park,Cemetery,8,DCM8
Discovery Park,Daybreak Star,1,DD1
Discovery Park,Daybreak Star,2,DD2
Discovery Park,Daybreak Star,3,DD3
Discovery Park,Daybreak Star,4,DD4
Discovery Park,Daybreak Star,5,DD5
Discovery Park,Daybreak Star,6,DD6
Discovery Park,Daybreak Star,7,DD7
Discovery Park,Daybreak Star,8,DD8
Discovery Park,Daybreak Star,9,DD9
Discovery Park,Eastern Edge,1,DE1
Discovery Park,Eastern Edge,2,DE2
Discovery Park,Eastern Edge,3,DE3
Discovery Park,Eastern Edge,4,DE4
Discovery Park,Eastern Edge,5,DE5
Discovery Park,Eastern Edge,6,DE6
Discovery Park,Eastern Edge,7,DE7
Discovery Park,Eastern Edge,8,DE8
Discovery Park,Eastern Edge,9,DE9
Discovery Park,Hidden Valley Trail,1,DH1
Discovery Park,Hidden Valley Trail,2,DH2
Discovery Park,Hidden Valley Trail,3,DH3
Discovery Park,Hidden Valley Trail,4,DH4
Discovery Park,Hidden Valley Trail,5,DH5
Discovery Park,Hidden Valley Trail,6,DH6
Discovery Park,Hidden Valley Trail,7,DH7
Discovery Park,Hidden Valley Trail,8,DH8
Discovery Park,Nike/500,1,DNI1
Discovery Park,Nike/500,2,DNI2
Discovery Park,Nike/500,3,DNI3
Discovery Park,Nike/500,4,DNI4
Discovery Park,Nike/500,5,DNI5
Discovery Park,North Beach Trail,1,DNB1
Discovery Park,North Beach Trail,2,DNB2
Discovery Park,North Beach Trail,3,DNB3
Discovery Park,North Beach Trail,4,DNB4
Discovery Park,North Beach Trail,5,DNB5
Discovery Park,North Beach Trail,6,DNB6
Discovery Park,North Beach Trail,7,DNB7
Discovery Park,North Loop Trail,1,DNL1
Discovery Park,North Loop Trail,2,DNL2
Discovery Park,North Loop Trail,3,DNL3
Discovery Park,North Loop Trail,4,DNL4
Discovery Park,North Loop Trail,5,DNL5
Discovery Park,North Loop Trail,6,DNL6
Discovery Park,North Loop Trail,7,DNL7
Discovery Park,North Loop Trail,8,DNL8
Discovery Park,North Loop Trail,9,DNL9
Discovery Park,North Loop Trail,10,DNL10
Discovery Park,North Loop Trail,11,DNL11
Discovery Park,South Beach Trail,1,DSB1
Discovery Park,South Beach Trail,2,DSB2
Discovery Park,South Beach Trail,3,DSB3
Discovery Park,South Beach Trail,4,DSB4
Discovery Park,South Beach Trail,5,DSB5
Discovery Park,South Beach Trail,6,DSB6
Discovery Park,South Beach Trail,7,DSB7
Discovery Park,South Beach Trail,8,DSB8
Discovery Park,South Loop Trail,1,DSL1
Discovery Park,South Loop Trail,2,DSL2
Discovery Park,South Loop Trail,3,DSL3
Discovery Park,South Loop Trail,4,DSL4
Discovery Park,South Loop Trail,5,DSL5
Discovery Park,South Loop Trail,6,DSL6
Discovery Park,South Loop Trail,7,DSL7
Discovery Park,South Loop Trail,8,DSL8
Discovery Park,South Loop Trail,9,DSL9
Discovery Park,South Loop Trail,10,DSL10
Discovery Park,South Meadow,1,DSM1
Discovery Park,South Meadow,2,DSM2
Discovery Park,South Meadow,3,DSM3
Discovery Park,South Meadow,4,DSM4
Discovery Park,South Meadow,5,DSM5
Discovery Park,South Meadow,6,DSM6
Discovery Park,South Meadow,7,DSM7
Discovery Park,South Meadow,8,DSM8
Discovery Park,South Meadow,9,DSM9
Discovery Park,Wolf Tree Nature Trail,1,DW1
Discovery Park,Wolf Tree Nature Trail,2,DW2
Discovery Park,Wolf Tree Nature Trail,3,DW3
Discovery Park,Wolf Tree Nature Trail,4,DW4
Discovery Park,Wolf Tree Nature Trail,5,DW5
Discovery Park,Wolf Tree Nature Trail,6,DW6
Discovery Park,Wolf Tree Nature Trail,7,DW7
Genesee Park,Main Loop,0,GEM0
Genesee Park,Main Loop,1,GEM1
Genesee Park,Main Loop,2,GEM2
Genesee Park,Main Loop,3,GEM3
Genesee Park,Main Loop,4,GEM4
Genesee Park,Main Loop,5,GEM5
Genesee Park,Main Loop,6,GEM6
Genesee Park,Main Loop,7,GEM7
Genesee Park,Main Loop,8,GEM8
Genesee Park,Main Loop,9,GEM9
Genesee Park,Main Loop,10,GEM10
Golden Gardens Park,Main Loop,0,GGM0
Golden Gardens Park,Main Loop,1,GGM1
Golden Gardens Park,Main Loop,2,GGM2
Golden Gardens Park,Main Loop,3,GGM3
Golden Gardens Park,Main Loop,4,GGM4
Golden Gardens Park,Main Loop,5,GGM5
Golden Gardens Park,Main Loop,6,GGM6
Jenkin's Creek Park,Main Loop,1,JC1
Lake Forest Park,Main Loop,1,LFM1
Lake Forest Park,Main Loop,2,LFM2
Lake Forest Park,Main Loop,3,LFM3
Lincoln Park,North,1,LN1
Lincoln Park,North,2,LN2
Lincoln Park,North,3,LN3
Lincoln Park,North,4,LN4
Lincoln Park,North,5,LN5
Lincoln Park,North,6,LN6
Lincoln Park,South,1,LS1
Lincoln Park,South,2,LS2
Lincoln Park,South,3,LS3
Lincoln Park,South,4,LS4
Lincoln Park,South,5,LS5
Magnuson Park,Back Fence Loop,1,MB1
Magnuson Park,Back Fence Loop,2,MB2
Magnuson Park,Back Fence Loop,3,MB3
Magnuson Park,Back Fence Loop,4,MB4
Magnuson Park,Back Fence Loop,5,MB5
Magnuson Park,Back Fence Loop,6,MB6
Magnuson Park,Back Fence Loop,7,MB7
Magnuson Park,Back Fence Loop,52,
Magnuson Park,Back Fence Loop,54,
Magnuson Park,Main Drag Loop,1,MM1
Magnuson Park,Main Drag Loop,2,MM2
Magnuson Park,Main Drag Loop,3,MM3
Magnuson Park,Main Drag Loop,4,MM4
Magnuson Park,Main Drag Loop,5,MM5
Magnuson Park,Main Drag Loop,6,MM6
Magnuson Park,Main Drag Loop,7,MM7
Magnuson Park,Main Drag Loop,8,MM8
Magnuson Park,Main Drag Loop,51,
Magnuson Park,Main Drag Loop,53,
Magnuson Park,South End Loop,1,MS1
Magnuson Park,South End Loop,2,MS2
Magnuson Park,South End Loop,3,MS3
Magnuson Park,South End Loop,4,MS4
Magnuson Park,South End Loop,5,MS5
Magnuson Park,South End Loop,6,MS6
Magnuson Park,South End Loop,7,MS7
Magnuson Park,South End Loop,53,
Magnuson Park,Waterfront Loop,1,MWF1
Magnuson Park,Waterfront Loop,2,MWF2
Magnuson Park,Waterfront Loop,3,MWF3
Magnuson Park,Waterfront Loop,4,MWF4
Magnuson Park,Waterfront Loop,5,MWF5
Magnuson Park,Waterfront Loop,6,MWF6
Magnuson Park,Waterfront Loop,7,MWF7
Magnuson Park,Waterfront Loop,8,MWF8
Magnuson Park,Waterfront Loop,9,MWF9
Magnuson Park,Wetland Loop,1,MWL1
Magnuson Park,Wetland Loop,2,MWL2
Magnuson Park,Wetland Loop,3,MWL3
Magnuson Park,Wetland Loop,4,MWL4
Seward Park,East Loop,1,SE1
Seward Park,East Loop,2,SE2
Seward Park,East Loop,3,SE3
Seward Park,East Loop,4,SE4
Seward Park,East Loop,5,SE5
Seward Park,East Loop,6,SE6
Seward Park,East Loop,7,SE7
Seward Park,East Loop,8,SE8
Seward Park,West Loop,1,SW1
Seward Park,West Loop,2,SW2
Seward Park,West Loop,3,SW3
Seward Park,West Loop,4,SW4
Seward Park,West Loop,5,SW5
Seward Park,West Loop,6,SW6
Seward Park,West Loop,7,SW7
Seward Park,West Loop,8,SW8
Shadow Lake Bog,Main Loop,1,SLB1
Shadow Lake Bog,Main Loop,2,SLB2
Shadow Lake Bog,Main Loop,3,SLB3
Shadow Lake Bog,Main Loop,4,SLB4
Shadow Lake Bog,Main Loop,5,SLB5
Shadow Lake Bog,Main Loop,6,SLB6
Shadow Lake Bog,Main Loop,7,SLB7
Shadow Lake Bog,Main Loop,8,SLB8
Soos Creek,Main Loop,1,SC1
Soos Creek,Main Loop,2,SC2
Soos Creek,Main Loop,3,SC3
Soos Creek,Main Loop,4,SC4
Walsh Property,Creek Loop,1,WCL1
Walsh Property,Creek Loop,2,WCL2
Walsh Property,Creek Loop,3,WCL3
Walsh Property,Creek Loop,4,WCL4
Walsh Property,Creek Loop,5,WCL5
Walsh Property,Creek Loop,6,WCL6
Walsh Property,Creek Loop,7,WCL7
Walsh Property,Creek Loop,8,WCL8
Walsh Property,Creek Loop,9,WCL9
Walsh Property,Creek Loop,10,WCL10
Walsh Property,Pipeline Loop,1,WPL1
Walsh Property,Pipeline Loop,2,WPL2
Walsh Property,Pipeline Loop,3,WPL3
Walsh Property,Pipeline Loop,4,WPL4
Walsh Property,Pipeline Loop,5,WPL5
Walsh Property,Pipeline Loop,6,WPL6
Washington Park Arboretum,Main Loop,1,AM1
Washington Park Arboretum,Main Loop,2,AM2
Washington Park Arboretum,Main Loop,3,AM3
Washington Park Arboretum,Main Loop,4,AM4
Washington Park Arboretum,Main Loop,5,AM5
Washington Park Arboretum,Main Loop,6,AM6
Washington Park Arboretum,Main Loop,7,AM7
Washington Park Arboretum,Main Loop,8,AM8
Washington Park Arboretum,Main Loop,9,AM9
Washington Park Arboretum,Main Loop,10,AM10
